{'instance': 20, 'size': 20, 'graph': <networkx.classes.digraph.DiGraph object at 0x111799280>, 'ignition_node': (9.0, 9.0), 'OFV': '85.00000000000003', 'LB': '85.00000000000003', 'BurnedNodes': '84.0', 'NodeCount': '27825.0', 'SolCount': '1', 'Runime': '1109.9518740177155', 'TotalTime': 1270.6772029399872}
{'instance': 21, 'size': 20, 'graph': <networkx.classes.digraph.DiGraph object at 0x1113acc10>, 'ignition_node': (9.0, 9.0), 'OFV': '47.999999999999986', 'LB': '47.99999932799906', 'BurnedNodes': '47.0', 'NodeCount': '56929.0', 'SolCount': '1', 'Runime': '1405.4756391048431', 'TotalTime': 1553.7617859840393}
{'instance': 22, 'size': 20, 'graph': <networkx.classes.digraph.DiGraph object at 0x10b1db3a0>, 'ignition_node': (9.0, 9.0), 'OFV': '82.00000000000003', 'LB': '82.0', 'BurnedNodes': '81.0', 'NodeCount': '35101.0', 'SolCount': '1', 'Runime': '1282.4826788902283', 'TotalTime': 1438.8120288848877}
{'instance': 23, 'size': 20, 'graph': <networkx.classes.digraph.DiGraph object at 0x10a535fa0>, 'ignition_node': (9.0, 9.0), 'OFV': '65.00000000000003', 'LB': '64.99999929016042', 'BurnedNodes': '64.0', 'NodeCount': '115205.0', 'SolCount': '1', 'Runime': '2251.0283229351044', 'TotalTime': 2397.660496711731}
{'instance': 24, 'size': 20, 'graph': <networkx.classes.digraph.DiGraph object at 0x10b114e80>, 'ignition_node': (9.0, 9.0), 'OFV': '112.00000000000003', 'LB': '111.99999999999996', 'BurnedNodes': '111.0', 'NodeCount': '162725.0', 'SolCount': '1', 'Runime': '3350.860816001892', 'TotalTime': 3507.0111639499664}
{'instance': 25, 'size': 30, 'graph': <networkx.classes.digraph.DiGraph object at 0x10a32d430>, 'ignition_node': (14.0, 14.0), 'OFV': '', 'LB': '37.0', 'BurnedNodes': '', 'NodeCount': '16589.0', 'SolCount': '0', 'Runtime': '7200.025452136993', 'TotalTime': 8883.847388029099}
{'instance': 26, 'size': 30, 'graph': <networkx.classes.digraph.DiGraph object at 0x1117bd2b0>, 'ignition_node': (14.0, 14.0), 'OFV': '', 'LB': '44.00000000000003', 'BurnedNodes': '', 'NodeCount': '20616.0', 'SolCount': '0', 'Runtime': '7200.0127828121185', 'TotalTime': 8989.102542161942}
{'instance': 27, 'size': 30, 'graph': <networkx.classes.digraph.DiGraph object at 0x1117bdbb0>, 'ignition_node': (14.0, 14.0), 'OFV': '', 'LB': '37.000000000000014', 'BurnedNodes': '', 'NodeCount': '23753.0', 'SolCount': '0', 'Runtime': '7200.030313014984', 'TotalTime': 8873.382632255554}
{'instance': 28, 'size': 30, 'graph': <networkx.classes.digraph.DiGraph object at 0x1117bdc70>, 'ignition_node': (14.0, 14.0), 'OFV': '', 'LB': '73.0', 'BurnedNodes': '', 'NodeCount': '28883.0', 'SolCount': '0', 'Runtime': '7200.032591819763', 'TotalTime': 8987.676546096802}
{'instance': 29, 'size': 30, 'graph': <networkx.classes.digraph.DiGraph object at 0x1117bdd30>, 'ignition_node': (14.0, 14.0), 'OFV': '', 'LB': '44.00000000000019', 'BurnedNodes': '', 'NodeCount': '10481.0', 'SolCount': '0', 'Runtime': '7200.068618059158', 'TotalTime': 8849.35284781456}
{'instance': 30, 'size': 30, 'graph': <networkx.classes.digraph.DiGraph object at 0x1117bddf0>, 'ignition_node': (14.0, 14.0), 'OFV': '', 'LB': '95.00000000000102', 'BurnedNodes': '', 'NodeCount': '29494.0', 'SolCount': '0', 'Runtime': '7200.025336027145', 'TotalTime': 8986.038883924484}
{'instance': 31, 'size': 30, 'graph': <networkx.classes.digraph.DiGraph object at 0x1117bdeb0>, 'ignition_node': (14.0, 14.0), 'OFV': '', 'LB': '67.33333333333333', 'BurnedNodes': '', 'NodeCount': '19791.0', 'SolCount': '0', 'Runtime': '7200.037896156311', 'TotalTime': 8868.329608917236}
{'instance': 32, 'size': 30, 'graph': <networkx.classes.digraph.DiGraph object at 0x1117bdf70>, 'ignition_node': (14.0, 14.0), 'OFV': '', 'LB': '103.5', 'BurnedNodes': '', 'NodeCount': '22028.0', 'SolCount': '0', 'Runtime': '7200.135580062866', 'TotalTime': 9020.430240154266}
