instance,size,graph,ignition_node,OFV,LB,BurnedNodes,NodeCount,SolCount,Runime,TotalTime
1,6,DiGraph with 36 nodes and 120 edges,"(2.0, 2.0)",22.000000000000007,21.99999999999998,21.0,1.0,6,2.3628640174865723,3.860196113586426
1,6,DiGraph with 36 nodes and 120 edges,"(2.0, 2.0)",22.000000000000007,21.99999999999998,21.0,1.0,6,2.3628640174865723,3.860196113586426
2,6,DiGraph with 36 nodes and 120 edges,"(2.0, 2.0)",24.000000000000007,23.999999999999964,23.0,1.0,5,0.824923038482666,1.5537521839141846
3,6,DiGraph with 36 nodes and 120 edges,"(2.0, 2.0)",24.000000000000007,23.999999999999986,23.0,1.0,4,0.8440890312194824,1.5516431331634521
4,6,DiGraph with 36 nodes and 120 edges,"(2.0, 2.0)",23.000000000000007,22.999999999999975,22.0,1.0,4,0.5106120109558105,1.2172350883483887
5,6,DiGraph with 36 nodes and 120 edges,"(2.0, 2.0)",24.000000000000007,23.99999999999998,23.0,9.0,5,1.8088569641113281,2.515869140625
6,6,DiGraph with 36 nodes and 120 edges,"(2.0, 2.0)",24.000000000000007,23.99999999999999,23.0,1.0,6,0.7931759357452393,1.506922960281372
7,6,DiGraph with 36 nodes and 120 edges,"(2.0, 2.0)",24.000000000000007,23.999999999999986,23.0,1.0,3,0.7097039222717285,1.4407258033752441
8,6,DiGraph with 36 nodes and 120 edges,"(2.0, 2.0)",24.000000000000007,23.999999999999993,23.0,1.0,4,0.42128896713256836,1.2841591835021973
9,10,DiGraph with 100 nodes and 360 edges,"(4.0, 4.0)",37.999999999999986,37.99999999999979,37.0,170.0,8,17.813893795013428,21.664026021957397
10,10,DiGraph with 100 nodes and 360 edges,"(4.0, 4.0)",40.999999999999986,40.99999999999998,40.0,884.0,2,57.54760003089905,61.70452404022217
11,10,DiGraph with 100 nodes and 360 edges,"(4.0, 4.0)",39.999999999999986,39.999999999999986,39.0,1140.0,4,58.4839551448822,62.32862901687622
12,10,DiGraph with 100 nodes and 360 edges,"(4.0, 4.0)",50.999999999999986,50.999999999999865,50.0,3055.0,7,40.68468999862671,44.71323227882385
13,10,DiGraph with 100 nodes and 360 edges,"(4.0, 4.0)",47.999999999999986,47.999999999999815,47.0,328.0,4,14.505929946899414,18.41522192955017
14,10,DiGraph with 100 nodes and 360 edges,"(4.0, 4.0)",50.999999999999986,50.999999999999986,50.0,1047.0,5,48.38692808151245,52.37574505805969
15,10,DiGraph with 100 nodes and 360 edges,"(4.0, 4.0)",55.999999999999986,55.999999999999986,55.0,902.0,4,45.519707918167114,49.39138197898865
16,10,DiGraph with 100 nodes and 360 edges,"(4.0, 4.0)",58.999999625015974,58.999999625000456,57.99999962501599,940.0,3,53.38119888305664,57.35643696784973
17,20,DiGraph with 400 nodes and 1520 edges,"(9.0, 9.0)",34.999999999999986,34.999999999999986,34.0,57267.0,1,1906.3681559562683,2039.7982411384583
18,20,DiGraph with 400 nodes and 1520 edges,"(9.0, 9.0)",,54.00000000000003,,117234.0,0,7200.017664194107,7372.560480833054
19,20,DiGraph with 400 nodes and 1520 edges,"(9.0, 9.0)",45.999999999999986,45.999999999999986,45.0,43314.0,1,1608.4452090263367,1746.302906036377
20,20,DiGraph with 400 nodes and 1520 edges,"(9.0, 9.0)",85.00000000000003,85.00000000000003,84.0,27825.0,1,3754.1287899017334,3898.5355920791626
21,20,DiGraph with 400 nodes and 1520 edges,"(9.0, 9.0)",47.999999999999986,47.99999932799906,47.0,56929.0,1,1381.1187319755554,1539.1644859313965
22,20,DiGraph with 400 nodes and 1520 edges,"(9.0, 9.0)",82.00000000000003,82.0,81.0,35101.0,1,1192.1863448619843,1339.1375060081482
23,20,DiGraph with 400 nodes and 1520 edges,"(9.0, 9.0)",65.00000000000003,64.99999929016042,64.0,115205.0,1,2216.006036043167,2350.2529079914093
24,20,DiGraph with 400 nodes and 1520 edges,"(9.0, 9.0)",112.00000000000003,111.99999999999996,111.0,162725.0,1,3055.5365970134735,3196.278018951416
25,30,DiGraph with 900 nodes and 3480 edges,"(14.0, 14.0)",,37.0,,16601.0,0,7200.0340139865875,8863.291327953339
26,30,DiGraph with 900 nodes and 3480 edges,"(14.0, 14.0)",,44.00000000000003,,20747.0,0,7200.024081945419,8995.719425916672
27,30,DiGraph with 900 nodes and 3480 edges,"(14.0, 14.0)",,37.000000000000014,,23707.0,0,7200.0270619392395,8839.335558891296
28,30,DiGraph with 900 nodes and 3480 edges,"(14.0, 14.0)",,73.0,,28645.0,0,7200.029067993164,8950.302600860596
29,30,DiGraph with 900 nodes and 3480 edges,"(14.0, 14.0)",,44.00000000000019,,10652.0,0,7200.046788930893,8823.171603918076
30,30,DiGraph with 900 nodes and 3480 edges,"(14.0, 14.0)",,95.00000000000102,,26800.0,0,7200.028825998306,8985.389623641968
31,30,DiGraph with 900 nodes and 3480 edges,"(14.0, 14.0)",,67.33333333333333,,20380.0,0,7200.020301818848,8823.562462091446
32,30,DiGraph with 900 nodes and 3480 edges,"(14.0, 14.0)",,103.0,,19262.0,0,7200.05544090271,8912.697232961655
